00:52:00:10  >> WELCOME BACK.
01:07:38:16  IS ACTUALLY ABOUT 800 BYTES.
01:07:43:10  SO THIS SLIDE PREVIOUSLY SHOWS A
01:07:45:25  REALLY BASIC REQUEST, BUT MORE
01:07:47:19  COMPLEX REQUESTS CONTAIN EVEN
01:07:49:13  MORE HEADERS SUCH AS COOKIES
01:07:52:13  WHICH ARE ACTUALLY SENT ON EVERY
01:07:53:22  SINGLE HTTP REQUEST.
01:07:55:16  SO WHEN WE CREATE WEB APPS USING
01:08:06:07  PLAIN OLD HTTP, BUT ONCE YOU
01:08:09:01  START TO TRYING TO DO THINGS
01:08:11:28  THAT ARE MUCH MORE INTERACTIVE,
01:08:14:25  YOU START TO RUN INTO THE
01:08:16:01  PROBLEM THAT THIS MODEL IS VERY
01:08:17:28  SLOW.
01:08:18:10  WE COULD REFRESH THE PAGE EVERY
01:08:19:28  TIME WE WANTED TO USERS TO
01:08:21:19  INTERACT WITH THE SITE.
01:08:23:16  BUT IT TAKES A LONG TIME.
01:08:25:28  EVEN IN THE BEST CASE SCENARIO,
01:08:27:25  WE'RE LIMITED BY THE SPEED OF
01:08:29:04  LIGHT.
01:08:29:22  SO BETWEEN BOSTON AND
01:08:31:01  SAN FRANCISCO, IN THE BEST CASE,
01:08:33:07  LIGHT TAKES ABOUT 40
01:08:35:10  MILLISECONDS TO GO BACK AND
01:08:38:16  FORTH, AND IN A MORE AVERAGE
01:08:40:16  CASE, YOU'RE LOOKING AT MORE
01:08:42:04  LIKE 80 MILLISECONDS, PLUS MORE
01:08:44:07  TIME TO TRANSFER ANY DATA WHICH
01:08:46:04  INCLUDES THOSE HTTP HEADERS,
01:08:48:13  WHICH ARE REALLY BIG, AND ALSO
01:08:50:10  TIME TO BOOTSTRAP THE TCP
01:08:52:28  CONNECTION.
01:08:53:10  SO IF YOU'RE GONNA TRANSFER A
01:08:54:16  LOT OF DATA USING TCP, YOU HAVE
01:08:57:10  TO BOOTSTRAP THE CONNECTION OVER
01:08:58:28  A COUPLE OF BACK-AND-FORTHS TO
01:09:00:19  INCREASE THE WINDOW SIZE.
01:09:01:25  SO DEVELOPERS TRIED TO WORK
01:09:06:13  AROUND THESE PROBLEMS IN A
01:09:07:25  NUMBER OF DIFFERENT WAYS.
01:09:08:28  ONE OF THE FIRST WAYS WAS THIS
01:09:11:10  METHOD THAT ENDED UP BEING
01:09:13:04  CALLED AJAX, ASYNCHRONOUS
01:09:16:01  JAVASCRIPT.
01:09:21:10  YOU WIRE THAT PIECE OF
01:09:23:01  JAVASCRIPT UP TO A BUTTON THAT
01:09:24:28  YOU WANT TO TALK TO THE SERVER,
01:09:26:13  AND IT CAN GET THE RESPONSE AND
01:09:29:13  THEN POTENTIALLY UPDATE A SUBSET
01:09:31:16  OF THE CURRENT PAGE WITH NEW
01:09:32:28  DATA.
01:09:33:16  SO THIS ALLOWS US TO UPDATE
01:09:36:16  PAGES WITHOUT COMPLETELY
01:09:38:01  REFRESHING THEM, BUT IT STILL
01:09:39:19  HAS TO CREATE ANOTHER HTTP
01:09:41:19  CONNECTION, INCLUDING OPENING A
01:09:43:10  NEW TCP CONNECTION TO THE
01:09:45:25  SERVER, EVERY TIME IT WANTS TO
01:09:48:28  SEND DATA BACK AND FORTH.
01:09:51:01  CLIENTS CAN USE AJAX TO PULL A
01:09:53:28  WEB SERVER TO UPDATE PAGES AS
01:09:56:19  WELL.
01:09:59:13  SO THIS WAS AN IMPROVEMENT ON
01:10:07:13  THE SIMPLE MODEL WHERE YOU JUST
01:10:10:25  SEND AND GET REQUESTS AND GET
01:10:13:01  THE RESPONSE BACK, RELOADING THE
01:10:15:10  WHOLE PAGE, BUT IT DIDN'T
01:10:17:04  FUNDAMENTALLY CHANGE THE MODEL
01:10:19:16  OF HOW WEB APPLICATIONS
01:10:21:04  OPERATED.
01:10:21:19  ONE PROBLEM WAS THAT IF
01:10:23:10  COMPUTATION WAS HAPPENING ON THE
01:10:25:22  SERVER AND THE CLIENT WANTED TO
01:10:27:22  KEEP IT UPDATED, IT HAD TO PULL
01:10:30:10  OR KEEP CHECKING IN AND CREATE A
01:10:33:01  NEW CONNECTION EVERY TIME.
01:10:35:04  SO ANOTHER LIMITATION THAT WEB
01:10:36:13  APPS HAD COMPARED TO, SAY, A
01:10:38:16  DESKTOP APPLICATION WAS THAT UP
01:10:40:22  UNTIL THIS POINT IN TIME, THE
01:10:42:10  COMMUNICATION BETWEEN THE CLIENT
01:10:43:10  AND SERVER WAS FUNDAMENTALLY
01:10:45:10  ONE-WAY.
01:10:47:16  SO WEB DEVELOPERS ARE REALLY
01:10:52:01  SMART PEOPLE, AND THEY CAME UP
01:10:54:07  WITH A WAY TO WORK AROUND THIS
01:10:55:19  AS WELL.
01:10:56:04  THE THING THEY CAME UP WITH NEXT
01:11:00:25  WAS A MODEL CALLED COMET, OR
01:11:04:04  SOMETIMES LONG-PULLING.
01:11:05:19  THIS INVOLVED KEEPING A
01:11:06:28  LONG-LIVED HTTP CONNECTION OPEN
01:11:09:01  UNTIL A TIMEOUT EXPIRES OR THE
01:11:10:22  SERVER HAS SOME DATA TO RETURN
01:11:12:13  TO THE CLIENT.
01:11:12:28  THE CLIENT THEN OPENS ANOTHER
01:11:14:13  HTTP CONNECTION TO THE SERVER
01:11:16:10  AND CONTINUES TO WAIT FOR DATA.
01:11:18:22  SO THIS WORKED PRETTY WELL
01:11:21:19  ACTUALLY.
01:11:22:04  BUT THERE WAS ONE CASE THAT WAS
01:11:24:19  LEFT WHERE IT STILL DEGRADED,
01:11:26:10  AND THAT'S IF THE APPLICATION
01:11:27:25  NEEDED TO PASS DATA OR MESSAGES
01:11:30:01  BACK AND FORTH FROM THE CLIENT
01:11:31:28  TO THE SERVER AT A REALLY HIGH
01:11:34:04  INTERVAL.
01:11:34:19  SO THIS IS AN ACTUAL CODE
01:11:38:22  FROM -- QUOTE FROM ONE OF THE
01:11:41:19  WEBSOCKETS RFCS, AND IT SAYS,
01:11:44:04  "HISTORICALLY, CREATING WEB
01:11:46:10  APPLICATIONS THAT NEEDED
01:11:47:07  BIDIRECTIONAL COMMUNICATION
01:11:48:10  BETWEEN A CLIENT AND SERVER,
01:11:50:13  E.G., GAMING AND INSTANT
01:11:52:07  MESSAGING APPLICATIONS, HAS
01:11:54:04  REQUIRED AN ABUSE OF HTTP TO
01:11:56:13  POLL THE SERVER FOR UPDATES
01:11:56:13  WHILE SENDING UPSTREAM
01:11:56:13  NOTIFICATIONS AS DISTINCT HTTP
01:11:59:19  CALLS."
01:12:00:01  SO IT'S RIGHT THERE IN THE RFC,
01:12:04:10  WHY WE NEEDED TO COME UP WITH
01:12:06:01  SOMETHING THAT WAS DIFFERENT.
01:12:06:28  OH, OOPS.
01:12:10:01  THAT'S NOT RIGHT.
01:12:11:19  IN ORDER TO BE ABLE TO IMPLEMENT
01:12:23:25  PROPER REAL-TIME APPLICATIONS,
01:12:26:01  APPS THAT WERE SENDING SMALL
01:12:27:28  MESSAGES BACK AND FORTH BETWEEN
01:12:29:13  CLIENT AND SERVER OFTEN, WE
01:12:30:28  REALLY NEEDED A PROTOCOL THAT
01:12:33:28  ALLOWED-TWO WAY COMMUNICATION
01:12:36:19  WITH LOW LATENCY, AND THAT'S
01:12:39:04  WHERE WEBSOCKETS CAME IN.
01:12:40:13  SO NOW YOU HAVE SOME HISTORICAL
01:12:47:10  CONTEXT.
01:12:48:01  LET'S TALK ABOUT HOW THE
01:12:49:13  WEBSOCKETS PROTOCOL ACTUALLY
01:12:51:01  WORKS NOW SO WE CAN BETTER
01:12:52:19  UNDERSTAND HOW IT EVOLVED AND
01:12:54:13  HOW IT ALLOWS DIFFERENT KINDS OF
01:12:56:07  APPS TO EXIST ON THE WEB.
01:12:57:16  IN ORDER TO DO THIS, WE HAVE TO
01:13:01:10  TAKE A LOOK AT ANOTHER PIECE OF
01:13:02:25  COMPUTING HISTORY.
01:13:04:04  OR WHAT THE WORD "SOCKET"
01:13:07:01  ACTUALLY MEANS IN A COMPUTING
01:13:09:19  CONTEXT ANYWAY.
01:13:10:19  IN THE 1970s, WHEN UNIX WAS
01:13:14:19  DEVELOPED, PART OF THE OPERATING
01:13:16:01  SYSTEM API THAT BRIAN
01:13:17:10  KERNIGHAN -- CONTAINED AN API
01:13:23:04  CALLED A SOCKET.
01:13:24:07  I HAVE NO IDEA WHY THEY CALLED
01:13:26:01  IT THIS.
01:13:26:13  AND I ASKED THE INTERNET, AND NO
01:13:28:10  ONE KNEW EITHER.
01:13:30:01  SO WHO KNOWS.
01:13:31:04  SO UNIX DOMAIN SOCKETS WERE USED
01:13:34:10  FOR LOCAL INTERPROCESS
01:13:35:22  COMMUNICATION, OR IPC, ON A
01:13:38:10  SINGLE SERVER.
01:13:39:19  YOU WOULD MAKE A CALL TO THE
01:13:43:04  SOCKET CALL, AND THEN YOU GET A
01:13:44:22  FILE DESCRIPTOR, YOU COULD USE
01:13:46:19  TO COMMUNICATE BETWEEN
01:13:48:01  PROCESSES.
01:13:48:19  THE SOCKET WAS A BIDIRECTIONAL
01:13:50:13  LINK BETWEEN TWO DIFFERENT
01:13:51:25  PROGRAMS WHICH IT COULD USE TO
01:13:53:16  SEND MESSAGES BACK AND FORTH.
01:13:56:10  IF YOU USED THE SOCKET SYSCALL
01:13:58:01  IN LINUX, YOU CAN ALSO USE IT TO
01:14:00:25  CREATE A SOCKET THAT GOES ACROSS
01:14:02:04  THE NETWORK.
01:14:02:22  SO YOUR PROGRAM ON A LOCAL
01:14:04:04  COMPUTER CAN OPEN UP A SOCKET TO
01:14:06:19  A GAME SERVER, AND THE GAME
01:14:08:04  SERVER CAN SEND THE PROGRAM
01:14:09:16  UPDATES OR VICE VERSA.
01:14:11:22  SO THE LINUX SOCKET API IS
01:14:17:04  REALLY SUPER SIMPLE.
01:14:18:16  IT CONSISTS OF THREE SYSCALLS:
01:14:21:10  SOCKET, WHICH CREATES THE SOCKET
01:14:23:19  DESCRIPTOR; AND THEN THERE'S
01:14:25:01  SEND AND RECEIVE, WHICH WERE
01:14:26:22  USED TO PASS MESSAGES BACK AND
01:14:28:28  FORTH.
01:14:29:28  I BRING ALL THIS UP BECAUSE IT
01:14:33:10  TURNS OUT THAT YOU CAN THINK OF
01:14:35:04  WEBSOCKETS AS BASICALLY UNIX
01:14:37:10  SOCKETS FOR WEB APPLICATIONS.
01:14:39:19  THE WEBSOCKETS PROTOCOL AND API
01:14:43:10  WERE INTRODUCED AS A PART OF THE
01:14:45:22  HTML 5 SPECIFICATION, BUT THEY
01:14:47:07  WERE EVENTUALLY SPLIT OUT IN
01:14:50:16  ORDER TO KEEP HTML 5 SIMPLER.
01:14:52:16  BEFORE WEBSOCKETS, THERE WERE
01:14:58:19  SOME WAYS TO OPEN UP SOCKETS IN
01:15:01:07  WEB APPLICATIONS, BUT THERE WAS
01:15:02:25  NO STANDARD API FOR IT.
01:15:04:25  YOU HAD TO USE A NONSTANDARD
01:15:06:22  BROWSER EXTENSION LIKE FLASH IN
01:15:08:04  ORDER TO DO IT.
01:15:08:28  THE WEB SOCKET SPEC MADE THE
01:15:12:10  IDEA OF USING WEBSOCKETS
01:15:13:16  STANDARD AND ALSO DEALT WITH
01:15:15:13  PROBLEMS UNIQUE TO WEB
01:15:17:07  APPLICATIONS TRYING TO USE
01:15:18:10  SOCKETS LIKE DEALING WITH
01:15:19:16  FIREWALLS AND PROXIES.
01:15:21:13  SO THE THINGS LAID OUT IN THE
01:15:23:13  WEBSOCKETS ARE -- WITH HOW THE
01:15:26:25  WEBSOCKETS API WORKS AND THE
01:15:29:01  PROTOCOL WORKS WERE SPECIFICALLY
01:15:31:16  DESIGNED TO MAKE IT EASY TO USE
01:15:33:10  SOCKETS USING EXISTING WEB
01:15:35:28  INFRASTRUCTURE.
01:15:36:10  SO FOR EXAMPLE, IT'S A PROBLEM
01:15:37:19  TO USE SOCKETS ON DIFFERENT
01:15:39:01  PORTS THAN PORT 80 OR PORT 443
01:15:42:16  BECAUSE PROXIES AND FIREWALLS
01:15:44:13  WILL ACTUALLY DROP TRAFFIC OR
01:15:46:04  BLOCK TRAFFIC TO THESE PORTS.
01:15:47:22  SO WEBSOCKETS WERE SPECIFICALLY
01:15:50:28  DESIGNED TO BE
01:15:51:22  BACKWARDS-COMPATIBLE WITH THIS
01:15:54:04  INFRASTRUCTURE.
01:15:54:13  SO WEBSOCKETS MAKE REAL-TIME
01:16:02:10  APPS POSSIBLE ON THE WEB, BUT
01:16:04:22  WHAT'S A REAL-TIME APP?
01:16:08:13  BASICALLY THAT MEANS ANYTHING
01:16:11:13  LIVE UPDATING AT HIGH FREQUENCY.
01:16:13:16  FOR EXAMPLE, GAMES, STOCK
01:16:15:07  TICKERS, CHAT PROGRAMS.
01:16:16:28  THE CHAT PROGRAM SLACK, FOR
01:16:20:13  EXAMPLE, USES WEBSOCKETS TO
01:16:22:10  CONNECT FROM THE WEB BROWSER
01:16:23:16  CLIENT TO THE SERVER.
01:16:25:01  SO NOW I WANT TO TAKE A LOOK AT
01:16:32:28  A SUPER SIMPLE WEBSOCKETS
01:16:34:16  EXAMPLE USING PYTHON.
01:16:35:16  ALL RIGHT.
01:16:37:19  THERE WE GO.
01:16:41:01  UH... NOT THIS ONE.
01:16:46:28  WE WANT THIS ONE.
01:16:48:01  OKAY.
01:16:50:19  HOPEFULLY YOU GUYS CAN SEE THAT
01:16:52:13  OKAY.
01:16:52:22  SO... SO I'VE CREATED A LITTLE
01:17:08:07  EXAMPLE HERE USING THE
01:17:09:22  WEBSOCKETS LIBRARY, WHICH IS A
01:17:12:04  PYTHON 3 ONLY LIBRARY THAT IS
01:17:16:19  BUILT USING ASYNCIO.
01:17:24:04  SO LET'S TAKE A REALLY QUICK
01:17:26:16  LOOK AT THIS CODE.
01:17:27:28  YOU CAN SEE THAT IT CONSISTS OF
01:17:29:04  A SINGLE FUNCTION.
01:17:30:19  AND BASICALLY USES THIS
01:17:34:10  WEBSOCKETS LIBRARY TO SERVE THAT
01:17:35:13  SINGLE FUNCTION ON LOCAL HOSTS
01:17:38:16  ON THIS PORT 8765.
01:17:42:04  AND THEN IT JUST RUNS IN A LOOP
01:17:44:07  FOREVER AND SERVES THIS FUNCTION
01:17:45:13  TO EVERY CONNECTION THAT
01:17:47:16  CONNECTS TO THIS PORT.
01:17:52:07  >> [ Inaudible ]
01:17:53:04  >> SURE.
01:17:53:22  I THINK I'M GONNA, LIKE, DO IT
01:17:57:07  HERE, OR, LIKE, MAKE A NEW
01:17:59:16  TERMINAL.
01:18:00:16  UM... IT'S REALLY ANNOYING TO
01:18:11:28  BRING THINGS UP IN VIM, BECAUSE
01:18:15:16  THE COLOR SCHEME IS TERRIBLE ON
01:18:17:25  A PROJECTOR.
01:18:35:16  OKAY.
01:18:35:28  I DON'T WANT, LIKE, SPEND TOO
01:18:37:16  MUCH TIME FIDDLING AROUND WITH
01:18:41:28  THIS.
01:18:42:10  SORRY.
01:18:43:01  I CAN DO, LIKE, THIS.
01:18:45:01  HERE, OR, OOPS.
01:18:46:22  MAKE IT BIGGER.
01:18:48:25  [ Applause ]
01:18:50:13  SUCCESS!
01:18:53:01  YOU DON'T GET SYNTAX
01:18:56:04  HIGHLIGHTING NOW, THOUGH.
01:18:57:22  BUT THERE'S NOT A LOT OF CODE
01:19:00:01  HERE, SO YOU DON'T REALLY NEED
01:19:01:16  THE HIGHLIGHTING.
01:19:02:13  BASICALLY THIS USES THE "YIELD
01:19:04:25  FROM" EXPRESSION FROM PYTHON 3.
01:19:08:13  TO MAKE THIS ASYNCHRONOUS.
01:19:14:07  AND THIS IS THE CLIENT, RIGHT?
01:19:15:28  SO THE CLIENT -- I WAS LOOKING
01:19:17:28  AT THE SERVER BEFORE, BUT THE
01:19:19:16  CLIENT WILL CONNECT TO THE
01:19:20:16  SERVER RIGHT HERE, SO WEBSOCKETS
01:19:24:04  URLs LOOK LIKE WEBSOCKETS,
01:19:28:01  COLON, SLASH, SLASH.
01:19:29:25  THEN YOU'LL DO WEBSOCKET.SEND TO
01:19:32:28  SEND A MESSAGE.
01:19:34:10  AND THEN IN THE SERVER, YOU CAN
01:19:42:13  ACTUALLY SEE THAT IT DOES
01:19:46:16  WEBSOCKET.RECEIVE TO RECEIVE A
01:19:49:22  MESSAGE.
01:19:51:10  SO THIS IS EXACTLY THE SAME API
01:19:53:22  AS WE SAW ON THE LINUX SOCKET
01:19:55:25  API.
01:19:56:19  IT'S CREATE A WEB SOCKET.
01:19:59:10  SEND AND RECEIVE.
01:20:00:10  SUPER SIMPLE.
01:20:02:25  AND ACTUALLY WANT TO SHOW YOU
01:20:07:07  GUYS THIS RUNNING.
01:20:08:07  SO I CAN FIRE UP A SERVER.
01:20:13:04  OH, OOPS.
01:20:14:13  VIRTUAL M... OKAY.
01:20:17:04  SO NOW THE SERVER'S RUNNING.
01:20:18:25  AND THEN I WANT TO MAKE THIS
01:20:21:19  BIGGER.
01:20:22:04  SO THEN WE CAN FIRE UP THE
01:20:30:01  CLIENT AND SAY, HI, MY NAME IS
01:20:32:10  SPANG.
01:20:32:22  AND IT SAYS HELLO.
01:20:34:10  AND THEN WE CAN GO BACK TO THE
01:20:36:19  SERVER AND SEE IT ALSO SAYS
01:20:38:10  HELLO.
01:20:38:19  SO IF THIS WERE A BETTER DEMO, I
01:20:41:07  WOULD DO LOTS OF THESE IN
01:20:43:07  PARALLEL, AND YOU COULD SEE THAT
01:20:44:25  IT WOULD JUST SEND THIS AT THE
01:20:46:10  SAME TIME.
01:20:46:19  BUT THIS IS A SUPER SIMPLE
01:20:50:13  EXAMPLE.
01:20:50:22  AND I WANT TO KEEP IT SUPER
01:20:52:22  SIMPLE BECAUSE I ACTUALLY WANT
01:20:54:01  US TO TAKE A LOOK AT WHAT ACTUAL
01:20:56:16  TRAFFIC IS GOING OVER THE WIRE.
01:20:57:28  SO YOU CAN USE A PROGRAM CALLED
01:21:02:04  TCP DUMP TO CAPTURE INTERNET
01:21:05:10  TRAFFIC BETWEEN TWO DIFFERENT
01:21:07:04  SERVERS OR BETWEEN THE SAME
01:21:08:16  SERVER, BETWEEN YOUR LAPTOP AND
01:21:10:13  YOUR LAPTOP.
01:21:12:01  AND I WANT US TO DO THAT RIGHT
01:21:13:13  NOW.
01:21:13:22  SO I'M NOT GONNA RUN, LIKE, THE
01:21:17:10  SUPER LIVE TCP CAPTURE, BUT I'M
01:21:21:01  JUST GONNA SHOW YOU HOW TO DO
01:21:22:16  IT.
01:21:22:28  SO GENERALLY, TO CAPTURE
01:21:24:28  WEBSOCKETS TRAFFIC, YOU'D RUN
01:21:26:19  TCP DUMP, AND IT HAS A LOT OF
01:21:29:13  OBSCURE ARGUMENTS THAT YOU
01:21:32:25  SHOULD READ THE MAN PAGE TO
01:21:34:22  FIGURE OUT WHAT THEY MEAN.
01:21:36:28  YOU WANT TO CAPTURE TCP TRAFFIC
01:21:39:19  AND HTTP TRAFFIC ON THIS
01:21:41:16  SPECIFIC PORT.
01:21:42:07  AND THIS SAYS TO LIKE OUTPUT IT
01:21:44:19  TO THIS DUMP FILE.
01:21:46:25  SO ACTUALLY HAVE THIS DUMP FILE,
01:21:50:28  WEB SOCKET SIMPLE DUMP, WHICH IS
01:21:53:16  A TCP DUMP CAPTURE FILE.
01:21:57:16  AND THEN THERE'S THIS TOOL FOR
01:21:59:07  LOOKING AT WEB TRAFFIC THAT IS
01:22:01:13  CALLED WIRESHARK THAT WE CAN USE
01:22:03:10  TO TAKE A LOOK AT THIS.
01:22:04:28  SO IF I PULL UP THIS DUMP FILE
01:22:08:01  IN WIRESHARK, SO I WANT TO CLEAR
01:22:09:28  THE FILTER HERE FIRST.
01:22:11:04  SO THIS IS A DUMP OF DOING THE
01:22:14:04  SAME INTERACTION THAT WE SAW
01:22:16:07  BEFORE, AND THAT WAS, LIKE,
01:22:19:01  CONNECTING A SIMPLE CLIENT, AND
01:22:23:10  SEEING THE SERVER RESPOND TO IT.
01:22:25:01  SO YOU CAN SEE THAT IT
01:22:30:04  BOOTSTRAPS A TCP CONNECTION,
01:22:32:13  SENDS AN -- ALL RIGHT, WE GOT A
01:22:35:19  TCP CONNECTION.
01:22:36:28  AND THEN IT SENDS AN HTTP
01:22:39:10  REQUEST.
