-00:00:01  >> HELLO, EVERYONE, WE'RE LOCATING THE SPEAKER SO
00:34:02   ROS.
00:34:03   AND WHAT ROS IS BASICALLY ROBOT-OPERATING SYSTEM,
00:34:07   A SET OF PACKAGES PRIMARILY FOR LINUX, WORKS
00:34:10   REALLY WELL ON OPEN-- AND ARM, THAT ALLOWS YOU TO
00:34:15   EASILY AND QUICKLY BUILD ROBOTS FROM SCRATCH.
00:34:17   HAS A HUGE AND WONDERFUL OPEN SOURCE COMMUNITY.
00:34:22   IT IS REASONABLY MATURE AND BATTLE-HARDENED.
00:34:26   BEEN RUNNING ON ROBOTS LIKE BAXTER AND ALL SORTS
00:34:29   OF DIFFERENT RESEARCH ROBOTS BUT ALSO THINGS IN
00:34:32   PRODUCTION AND IT'S REALLY, REALLY LIGHT AND
00:34:34   FLEXIBLE.
00:34:35   SO ALLOWS YOU TO INTERSPEARS C PLUSPLUS, AND ALSO
00:34:43   ALLOWS YOU TO ADD IN SOME JAVA AND JAVASCRIPT
00:34:45   SUPPORT.
00:34:46   SO WHAT IS IT INTERNALLY?
00:34:51   SO INTERNALLY ROS IS BASICALLY A PACKAGE MANAGER,
00:34:53   AND A LOT OF THAT'S APPED, SO I CAN APP IT TO ONE
00:34:57   OF THOUSANDS OF ROBOTICS PACKAGES FOR CAMERAS,
00:35:00   CAMERA DRIVERS, ALL SORTS OF STUFF LIKE THAT.
00:35:03   IT IS ALSO A BUILD SYSTEM CALLED CAT AND THAT
00:35:08   ALLOWS YOU TO DO ALL THE CPLUSPLUS, PYTHON
00:35:13   INTERSPERSION AND ALSO A DEPLOYMENT SYSTEM, SO I
00:35:17   HAVE THIS BIG HUGE ROBOT SYSTEM, ALLOWS ME TO
00:35:21   BRING STUFF UP, BRING IT DOWN, RESTART IT, ALL OF
00:35:23   THAT.
00:35:24   UNDERNEATH ALL THAT, I LIKE TO THINK OF IT AS A
00:35:27   PUBLISH SUBSCRIBE, SYSTEM, BASICALLY A MESSAGING
00:35:33   BOSS.
00:35:34   IT ALLOWS LITTLE INDEPENDENT NODES INSIDE THE
00:35:36   ROBOT TO TALK TO EACH OTHER BY EITHER PUBLISHING
00:35:38   OR SUBSCRIBING TO A MESSAGE.
00:35:40   ON TOP OF ALL THIS, WHAT YOU GETS FOR FREE IS
00:35:42   BASICALLY EVERY UTILITY YOU COULD EVER IMAGINE,
00:35:48   LOGGING, YOU CAN LOG JUST ABOUT EVERYTHING, AND
00:35:51   LOG DATA, LOTS AND LOTS OF DATA, I'VE LOGGED
00:35:54   TERABYTES AND TERABYTES OF DATA IN A SINGLE
00:35:57   EVENING ON ROS.
00:35:59   YOU CAN INTERSECT THAT DATA, YOU CAN -- OH, GEEZ,
00:36:02   GO THROUGH LOG FILES.
00:36:03   IT'S TONS AND TONS OF TOOLS THAT YOU CAN USE
00:36:06   EVERY DAY.
00:36:06   AND FINALLY, THERE'S JUST LOTS OF STANDARD
00:36:08   LIBRARIES ALLOWING TO YOU DO SO MANY THINGS, SO
00:36:11   THERE'S LIBRARIES FOR HANDLING IMAGE PROCESSING,
00:36:13   FOR HANDLING INVERSE KINEMATICS, FOR 3D MODELING,
00:36:18   FOR RUNNING VARIOUS SERVERS.
00:36:26   SO I CAN SIT HERE AND TALK ABOUT EVERYTHING ALL
00:36:28   DAY OR WE CAN DO SOME FUN ROBOTIC STUFF WHICH I
00:36:31   THINK YOU GUYS WOULD RATHER SEE SOME CODE BEING
00:36:34   WRITTEN AND DEPLOYED RATHER THAN ME CHATTING.
00:36:36   SO IF YOU IT IS UP HERE, I HAVE THIS LITTLE GUY.
00:36:39   THIS IS TWITCHEE.
00:36:40   I PICKED HIM UP FOR LIKE A HUNDRED BUCKS ON
00:36:43   AMAZON.
00:36:43   EASY A FOUR-ACTION EX ARM, A PALLETIZING ROBOT.
00:36:48   SO TWITCHEE IS JUST A MINIATURE MODEL OF
00:36:50   SOMETHING LIKE THIS KUKA ARM HERE THAT'S USED IN
00:36:53   MANUFACTURING SETTINGS TO DO PALLETIZATION, SO
00:36:56   PALLETIZATION IS LIKE WHEN YOU GET THIS GIANTS
00:36:59   PALLET OF SERIAL, THIS ROBOT PUTS ALL THE SERIAL
00:37:02   ON THAT PALLET BEFORE IT GETS SHIPPED OUT.
00:37:05   SUPER COOL.
00:37:05   SO WHAT IS RUNNING MY FRIEND TWITCHEE HERE.
00:37:12   SO UNDERNEATH, NOT A WHOLE LOT OF MAGIC HERE,
00:37:15   JUST AN ARDUINA, AND BASICALLY A LITTLE TINY
00:37:20   SHIELD AND ALL THE SHIELD IS DOING IS GIVING ME A
00:37:22   PLACE TO PLUG MY MOTORS INTO AND SHUNTING CURRENT
00:37:24   FROM A HIGHER VOLTAGE SOURCE.
00:37:26   THAT'S IT.
00:37:27   ALSO A KILL SWITCH SWITCH AND IT'S NOT BECAUSE
00:37:38   THE ROBOTS ARE GOING TO TAKE OVER, I DON'T CARE
00:37:41   HOW BIG OR LITTLE THEY ARE, THEY CAN ALWAYS HURT
00:37:43   YOU SO ALWAYS, ALWAYS, ALWAYS PUT A KILL SWITCH
00:37:46   ON YOUR ROBOT.
00:37:46   SO YOU GUYS WANT TO SEE ROS IN ACTION AND SEE HOW
00:37:49   IT PLAYS OUT?
00:37:50   OKAY.
00:37:50   SO, ALL THE PREREQUISITES I DID TO GET THIS
00:37:54   RUNNING, I INSTALLED ROS INDIGO ON DESK TOP, I
00:37:59   INSTEAD SOMETHING CALLED ROS SERIAL, WHICH WILL
00:38:01   ALLOW ME TO TALK TO THIS GUY.
00:38:03   I SET UP A CATKIN WORK SPACE AND THERE ARE
00:38:07   TUTORIALS THAT WILL WALK YOU THROUGH THAT.
00:38:10   I DOWNLOADED THE ARDUINO R.D. AND SET UP FOR ROS
00:38:13   WHICH MEANS RUNNING A PYTHON SCRIPT TO COPY FILES
00:38:16   OVER TO THE ADUINO R.D., AND LOADED SOME SOURCE
00:38:20   CODE.
00:38:21   SO FOR THIS FIRST STEP, WHAT WE'RE GOING TO DO IS
00:38:24   WE'RE GOING TO HAVE THE ARDUINO LEARN TO TALK TO
00:38:28   ROS.
00:38:28   AND SO WHAT THE ARDUINO WILL DO IS PUBLISH A
00:38:32   TOPIC, SO IT WILL PUBLISH A TOPIC CALLED STATE
00:38:34   AND STATE IS JUST FOUR INTEGERS, ONE
00:38:38   CORRESPONDING TO EACH MOTOR'S POSITION ON HERE.
00:38:40   AND THEN IT WILL ALSO LISTEN, LISTEN ON A TOPIC
00:38:44   FOR MESSAGES THAT ARE CALLED ROBOT, AND THAT'S
00:38:47   JUST WHERE WE SAY, ROBOT, I WANT YOU TO GO TO
00:38:49   THESE FOUR POSITIONS.
00:38:50   SO JUST TO MAKE THIS PERFECTLY CLEAR, ROBOT
00:38:54   LISTENS FOR STATE, UPDATES STATE, SENDS OUT A
00:38:59   MESSAGE ECHOING THE SAME THING.
00:39:00   I ADDED A SECOND NODE THAT PUBLISHES A HUMAN
00:39:03   READABLE MESSAGE.
00:39:04   AND SO WHAT'S GREAT ABOUT ALL THIS, ROS WILL
00:39:07   HANDLE ALL THAT MESSAGING PASSING FOR ME, I DON'T
00:39:10   HAVE TO THINK ABOUT IT, JUST DO IT AS A GIVEN.
00:39:13   ALL RIGHT.
00:39:13   SO IF YOU GUYS WILL BEAR WITH ME, ARE WE OKAY
00:39:15   LOOKING AT A LITTLE BIT OF C FOR ONE MINUTE?
00:39:18   I'LL SOMEHOW HOW THIS WORKS, LAST BIT OF C,
00:39:21   EVERYTHING ELSE WILL BE IN PYTHON AND XML.
00:39:23   SO HERE WE GO, BASICALLY IMPORTS FROM ROS
00:39:26   LIBRARIES, IMPORT AN N16 MULTI-ARRAY MESSAGE
00:39:31   WHICH WILL HOLD THE INTEGERS THAT WE MOVE BACK
00:39:33   AND FORTH.
00:39:33   AND THEN ALSO A STREAM MESSAGE WHICH IS A MESSAGE
00:39:38   IN A STREAM.
00:39:40   ALL I DO INSIDE THIS ARDUENO, SAY, ROS, THERE
00:39:44   WILL BE A NODE WHICH WILL WRAP THIS STUFF, THERE
00:39:46   WILL BE MESSAGES OF THAT FOUR IN KIND AND ALSO OF
00:39:50   A STRING AND I SAY, HEY, I'M GOING TO PUBLISH
00:39:52   THIS STATE MESSAGE, PUBLISH THE STATUS MESSAGE,
00:39:57   SO THEN YOU SPIN UP YOUR SERVEOs RIGHTS HERE,
00:40:01   CLIP THE VALUES CONNING IN AND OUT OF THAT AND
00:40:04   THEN SETS UP A CALL-BACK, AAND THIS CALL-BACK IS
00:40:07   BASICALLY WHENEVER YOU GET THIS ROBOT MESSAGE,
00:40:09   YOU GET THIS THING THAT SAYS "GO HERE," YOU MAKE
00:40:11   THE SERVOS GO HERE AND THAT'S WHERE THIS
00:40:16   CALL-BACK SETS GET AND WE DO IT IS STANDARD
00:40:18   ARDUENO THING WHERE YOU SET UP AND ATTACH THE
00:40:22   SERVEOs AND THEN WE INITIALLY EVERYTHING TO 90
00:40:26   DEGREES, MAKE THE SERVEOs GO THERE AND SPIN UP
00:40:29   ALL OF OUR ROS STUFF.
00:40:32   SET THE BAUD RATE, INITIALIZE THE NEED AND
00:40:34   ADVERTISE THAT WE ARE PUBLISHING A STATE AND
00:40:36   STATUS TOPIC.
00:40:37   NOW THEN AND FINALLY IN ARDUENO UPDATE LOOP, WE
00:40:43   GO THROUGH AND STAY, OH, THE STATUS OF THE ROBOT,
00:40:45   MAKE THIS A STRING AND PUBLISH IT OUT.
00:40:47   SO YOU GUYS GOT THAT?
00:40:48   DOES THAT MAKE SENSE?
00:40:49   KIND OF?
00:40:50   ALL RIGHT.
00:40:51   SO WE'LL SPIN THIS UP.
00:40:52   PLUG THIS IN.
00:40:55   IF WE WANTED TO LAUNCH THIS AND HAVE ROS ON MY
00:41:15   DESK TOP CONNECT TO WHAT'S RUNNING ON HERE, WE
00:41:17   HAVE TO RUN ROS ON MY MACHINE.
00:41:19   SO TO DO THAT, WHAT WE USE IS CALLED A LAUNCH
00:41:21   FILE.
00:41:22   SO LAUNCH FILES ARE BASICALLY PILES OF XML THAT
00:41:25   ALLOW TO YOU DEPLOY BITS OF CODE.
00:41:27   IT ALLOWS YOU TO START NODES, CHANGE NODES NAMES,
00:41:31   CHANGE TOPIC NAMES, SET PARAMETERS, ALL THE SORT
00:41:35   OF STUFF THAT YOU WOULD PUT IN A BASH SHELL TO
00:41:37   START UP A PROGRAM.
00:41:39   AND SO YOU CAN ALSO SORT OF BUILD HIERARCHIES OF
00:41:41   THESE SO IF YOU HAVE A WHOLE CAMERA SUBSYSTEM ON
00:41:44   YOUR ROBOT, YOU COULD DEPLOY THE CAMERA SUBSYSTEM
00:41:46   AS A SINGLE FILE IN A LAUNCH FILE.
00:41:50   IN THIS CASE, WHAT WE SEE HERE IS THE LAUNCH FILE
00:41:53   FOR THE SERIAL CONTROLLER, HEY, THERE IS A THING
00:41:56   CALLED ROS SERIAL PYTHON, I WANT YOU TO START THE
00:41:59   SERIAL NODE, ARDUINO SERIAL, IT WILL BE ON THIS
00:42:03   PARTS AND HAVE THIS BOT.
00:42:05   WHAT WE CAN DO IS DO ROS LAUNCH.
00:42:14   SERIAL CONTROLLER, AND SURPRISINGLY, NOTHING WILL
00:42:20   HAPPEN.
00:42:21   BECAUSE WE HAVEN'T TOLD THE ROBOT TO DO ANYTHING
00:42:24   YET.
00:42:24   BUT WHAT WE CAN DO ASK WE CAN WRITE A LITTLE
00:42:27   PROGRAM THAT SAYS, OH, HEY, I KNOW THAT THERE'S
00:42:29   THIS ROBOT CONTROLLER OR NOT SERIAL CONNECTION,
00:42:31   TELL IT TO DO SOMETHING MUCH SO THIS IS PYTHON,
00:42:34   BACK TO PYTHON.
00:42:37   WHAT WE DO HERE IS WE IMPORT THE SORT OF ARRAY
00:42:40   MESSAGE, YOU SEE THE N16 MULTI-ARRAY, SAME THING
00:42:43   WE USED ON THE CPLUSPLUS SIDE, WE CAN IMPORT THAT
00:42:47   AS AN OBJECT AND SPIN UP THIS PYTHON PROGRAM.
00:42:50   SAY I'M GOING TO CALL THIS SIMPLE PUBLISHER.
00:42:53   I'M GOING TO PUBLISH TO THE ROBOT, SO THIS IS ON
00:42:55   THE ROBOT, THIS IS WHAT TAKES IN THOSE FOUR Ns,
00:42:58   I'M GOING TO PUBLISH TWO SO THE ROBOT CAN HEAR
00:43:01   IT.
00:43:01   I'M GOING TO CREATES THIS MESSAGE AND THEN I'M
00:43:03   GOING TO GO BASICALLY STEP THROUGH A COUPLE OF
00:43:05   DIFFERENT JOINT ANGLES AND MAKE THE ROBOT GO TO
00:43:08   THOSE.
00:43:08   SO LET'S GIVE THIS A SHOT.
00:43:15   OOPS.
00:43:22   SO IT'S JUST GOING TO MOVE AROUND A LITTLE BIT.
00:43:29   NOTHING BIG HERE, RIGHT?
00:43:31   YOU'RE NOT -- THIS IS NOT IMPRESSIVE, LIKE, OKAY
00:43:33   THE ROBOT JUST MOVED AROUND.
00:43:35   BIG DEAL, RIGHT?
00:43:37   SO, YES, THIS IS TRUE.
00:43:39   WE CAN ACTUALLY MAKE THIS A LOT MORE INTERESTING
00:43:41   VERY, VERY QUICKLY WITH ROS.
00:43:44   SO LESSON TWO.
00:43:44   LET'S WIRE THIS PUPPY UP, SO INSTEAD OF JUST
00:43:47   SENDING IT MESSAGES TO MOVE AROUND, TO MOVE TO
00:43:49   THESE DIFFERENT JOINT AGE HE IS, WHAT IF WE
00:43:51   ACTUALLY RUN IT OFF OF ONE OF THESE THINGS
00:43:53   ANYTHING YOU'RE ALL FAMILIAR WITH THESE FROM
00:43:55   PLAYING WITH PLAY STATION SO ROS HAS A PACKAGE
00:44:00   THAT WILL ALLOW YOU TO SET UP A JOY PARTICULAR
00:44:02   AND WHAT THIS PACKAGE WILL DO IS YOU SPIN IT UP,
00:44:05   IT WILL PUBLISH JOY STICK MESSAGES TO A TOPIC.
00:44:07   I'M GOING TO WRITE A NODE THAT READS THE JOY
00:44:11   STICK TOPIC AND PUBLISHES TO THE ROBOT TOPIC AND
00:44:14   SAYS WHENEVER YOU HEAR THIS, MOVE THE ROBOT LIKE
00:44:16   THIS.
00:44:16   AND YOU CAN DO THAT REALLY, REALLY QUICKLY IN
00:44:18   ROS.
00:44:18   SO TO GIVE YOU AN EXAMPLE HERE, ALL I'M DOING IS
00:44:21   I'M PULLING IN THAT -- I'M GOING TO CREATE
00:44:23   ANOTHER NODE AND SO THIS NODE IS GOING TO USE THE
00:44:28   SAME MESSAGE AND WILL USE THE NEW MESSAGE CALLED
00:44:30   "JOY."
00:44:31   SO THIS NEW NODE IS ACTUALLY A CLASS VERSUS A
00:44:34   LITTLE TINY SCRIPT BECAUSE IT WILL BE RUNNING
00:44:36   SORT OF INDEFINITELY.
00:44:37   AND SO ALL I DO IS SET UP BASICALLY THIS THING
00:44:40   RUNS INDFL, HERE'S THE SHUTDOWN METHOD.
00:44:43   SO WHEN YOU SHUT DOWN, BRING THE ROBOT TO A NICE
00:44:45   NEUTRAL STATE.
00:44:46   SUBSCRIBE TO BOTH JOY STICK STATE OR THE JOY
00:44:51   STICK MESSAGE TOPIC, AND ALSO TO THE ROBOT STATE
00:44:53   TOPIC, THAT IS TO SAY, WHENEVER THE ROBOT'S
00:44:55   POSITION CHANGED, JUST MAKE SURE YOU CHECK WHAT
00:44:58   IT IS.
00:44:58   AND THEN BASICALLY YOU SEND THIS THING INTO AN
00:45:01   INFINITE LOOP WAITING FOR THE CALLBACKS ON BOTH
00:45:04   THE JOY STATE, RIGHT HERE, AND OF THE ROBOT
00:45:07   STATE.
00:45:07   SO IF WE LOOK DOWN HERE, IN THIS METHOD, THE
00:45:14   ROBOT WILL BASICALLY GET THE UPDATE STATE, AND
00:45:20   OVER HERE, THIS IS WHAT HAPPENS WHEN YOU ACTUALLY
00:45:22   TELL IT TO MOVE VIA COMMAND FROM THE JOY STICK.
00:45:24   BASICALLY, I LOOK AT THE CURRENT STATE OF THE
00:45:27   ROBOT, IF IT'S NOT THERE, I SET IT.
00:45:29   I CREATES THE VARIABLES FOR EACH OF THE MOTORS,
00:45:33   ONE, TWO, THREE AND FOUR, AND EVERY TIME THE
00:45:35   MOTOR GETS AN UPDATE, I BASICALLY INCREMENT THE
00:45:39   POSITION OF THE MOTOR.
00:45:40   SO IF I HIT "UP" OVER HERE, BASICALLY WHAT
00:45:43   HAPPENS IS I GET A LITTLE "UP" SIGNAL OR JUST
00:45:46   MOVE ONE OF THESE SERVEOWES JUST A LITTLE BIT AND
00:45:51   THEN DO SOME BOOK CLEANING TO CLEAN EVERYTHING UP
00:45:55   HERE, CHECK TO SEE FOR CHANGES IN THE ROBOT
00:45:57   STATUS.
00:45:58   ON THE DON'T MOVE THE ROBOT IF THERE'S NO CHANGES
00:46:00   TO BE DONE, DON'T SEND A MESSAGE.
00:46:01   AND IF THERE IS A CHANGE, I BASICALLY PUBLISH
00:46:04   THAT POSITION OUT JUST LIKE THE LAST EXAMPLE I
00:46:06   GAVE YOU.
00:46:06   AND THEN I WRAP UP WITH A LITTLE BOOKKEEPING,
00:46:13   SAY, HEY, IF YOU SHUT DOWN, SEND THE ROBOT TO A
00:46:15   NEUTRAL STATE AND IF THIS IS AN EXECUTED NODE,
00:46:18   SPIN UP THE NODE.
00:46:19   THEN WHAT I HAVE TO DO IS ADD A COUPLE OF LINES
00:46:22   TO THE LAUNCH FILE I SHOWED YOU BEFORE.
00:46:24   HERE I HAD ANOTHER NODE CALLED "JOY," AND RUNS
00:46:30   THE JOY STICK, AND I SET UP THE PARAMETERS TO RUN
00:46:33   THE JOY STICKS WHERE THE DEAD ZONE IS ON THE JOY
00:46:35   STICK AND REPEAT.
00:46:36   THEN I SPIN UP THE NODE WE JUST WROTE.
00:46:39   SAY "START THIS NODE."
00:46:41   SO LET'S GIVE THIS A SHOT.
00:46:44   KILL THIS.
00:46:44   ROS LAUNCH.
00:46:45   ALL RIGHT.
00:47:07   IS NOW WE CAN MOVE IT AROUND WITH THIS THING.
00:47:12   OKAY.
00:47:12   SO THAT WASN'T TOO BAD, RIGHT?
00:47:13   NOT BAD FOR 15 MINUTES OF CODING OR SOMETHING.
00:47:15   BUT THIS IS STILL ONLY KIND OF INTERESTING.
00:47:21   SO LET'S KEEP PUSHING IT A LITTLE BIT AND WE'LL
00:47:24   GET TO SOMETHING INTERESTING BY THE END.
00:47:26   ALL RIGHT.
00:47:26   SO I'M SHOWING YOU PUBLISH AND PRESCRIBE
00:47:32   PRIMITIVES BUT ROS HAS DIFFERENT ONES FOR DOING
00:47:34   DIFFERENT BEHAVIORS.
00:47:35   SO THERE ARE BUILT INTO ROS SORT OF BUILT ON TOP
00:47:38   OF THE PUBLISHED SUBSCRIBE MODEL ARE BASICALLY
00:47:41   SERVICES AND ACTIONS.
00:47:42   SO A SERVICE IS SOMETHING WHERE YOU GO AND SEND A
00:47:44   MESSAGE, SOMETHING HAPPENS, USUALLY FAIRLY
00:47:46   QUICKLY AND THEN A RESPONSE COMES BACK.
00:47:49   THAT'S IT.
00:47:49   YOU ONLY NEED TO DO IT ONCE OR EVERY ONCE IN A
00:47:52   WHILE.
00:47:52   AN ACTION IS A FAIRLY MORE COMPLEX THING SO YOU
00:47:54   CAN THINK OF THIS AS YOUR ROBOT DOING SOME
00:47:57   INTERESTING BEHAVIOR AND IN ACTION, YOU SEND A
00:48:00   GOAL.
00:48:00   YOU SEND, ROBOT, I WANT YOU TO MOVE OVER HERE, I
00:48:02   WANT YOU TO DO THIS THING.
00:48:04   THE ROBOT WILL SEND YOU PERIODIC UPDATES WHILE
00:48:06   IT'S DOING THAT AND THEN SEND YOU BASICALLY THE
00:48:09   END STATE AND YOU'RE ALSO -- YOUR NODE CAN
00:48:12   PREEMPT THAT GOAL BEHAVIOR, SO IF THE ROBOT IS
00:48:14   MOVING TOWARD SOME GOAL AND GOING TO CRASH INTO
00:48:17   SOMEBODY AND FLAIL AND BURN UP, YOU CAN HIT
00:48:19   "CANCEL" AND IT WILL GO AWAY AND STOP DOING WHAT
00:48:22   IT'S DOING.
00:48:23   BOTHER OF THESE USE THE ROS GENERATOR WHICH IS
00:48:26   THIS CODE THAT ALLOWS YOU TO USE CPLUSPLUS AND
00:48:30   PYTHON CODES.
00:48:31   SO FOR THIS EXAMPLE, WHAT I'M GOING TO DO IS
00:48:33   BASICALLY GOING TO TEACH THE ROBOT HOW TO --
00:48:38   WHENEVER I TOUCH A BUTTON ON THE JOY STICK, HOW
00:48:41   TO GO A PARTICULAR POSITION AND RECORD THAT
00:48:44   POSITION AND THEN FOR ANOTHER BUTTON ON THE JOY
00:48:48   STICKS I'LL CREATE AN ACTION.
00:48:50   WHEN I HIT THAT ACTION, IT WILL PLAY ALL THESE
00:48:53   AWAY POINTS THAT I WILL GIVE THE ROBOT AS IT'S
00:48:55   GOING ALONG.
00:48:56   THE BIT TO KNOW HERE IS I HAVE TO DEFINE MY
00:48:58   MESSAGES IN A LITTLE BIT OF YAMMEL.
00:49:01   SO FOR THE SERVICE, ALL I'M SAYING IS TAKE IN A
00:49:04   STRING, THE STRING WILL BE THE FILE THAT YOU WANT
00:49:05   TO SAVE EVERYTHING TO.
00:49:06   AND THEN RETURN RESULT, JUST TELL ME WHAT
00:49:08   HAPPENED, AND FOR THE ANIMATION PLAYER ACTION,
00:49:13   WHAT I'LL TAKE IN IS A FILE NAME AND A STEP SIZE,
00:49:15   WHICH IS BASICALLY HOW LONG TO WAIT BEFORE
00:49:17   PLAYING EACH COMMAND.
00:49:19   IT WILL RETURN A RESULT, RIGHT, WHICH IS JUST THE
00:49:22   STRING, HEY, I DID IT, NO, I DIDN'T DO IT, THIS
00:49:25   THING HAPPENED ALONG THE WAY.
00:49:26   AND THEN DURING THE COURSE OF THE PROCESS OF
00:49:30   PLAYING THE ANIMATION, I'LL BASICALLY GET AN
00:49:32   UPDATE STRING OF WHAT THE ROBOT'S CURRENTLY
00:49:34   DOING.
00:49:35   TO MAKE ALL THIS WORK, I THEY HAD TO DO A LITTLE
00:49:37   BIT OF MODIFICATION TO MAKE SURE CPLUSPLUS KNOWS
00:49:41   ABOUT IT, BASICALLY SETTING UP A COUPLE OF LINES
00:49:43   IN A MG FILE AND I NEED TO RUN CAT SCAN WHICH I
00:49:49   WON'T DO BECAUSE IT TAKES A SECOND BUT FAIRLY
00:49:52   STRAIGHTFORWARD.
00:49:53   LET'S LOOK AT THAT CODES FOR THIS ARM CONTROLLER,
00:49:55   SO THIS IS GOING TO BE EXACTLY LIKE THE THING WE
00:49:57   JUST WROTE.
00:49:58   IT'S GOING TO BE THE PYTHON CLASS THAT'S RUNNING
00:50:00   AND THAT IS HAAS THIS RUNNING PROCESS AND WHAT
00:50:02   YOU DO IS ROS BASICALLY IMPORTS THIS ARM MESSAGE,
00:50:05   THE SERVICE MESSAGE, WHICH IS GOING TO BE THE
00:50:08   SERVICE, THE WAY POINT SERVICE.
00:50:10   AND THEN IT WILL ALSO, FROM THIS OWI ARM MESSAGE
00:50:14   WILL INPUT THE ACTION MESSAGES.
00:50:15   AND SO HERE WE CREATE OUR NODE, ON
00:50:19   INITIALIZATION, WE GET SOME PARAMETERS.
00:50:22   THIS IS ONE OF THE UTILITIES IN ROOST, BASICALLY,
00:50:24   TO GET PA RAMS FROM THE ROS SYSTEM PLUS.
