           APRIL 10, 2015 PYCON, 12:10 - 12:40  - GOT TEXT
00:10:12   CONTAINS THE SPECS AND LINKS TO IMPLEMENTATIONS,
00:10:15   AND ALL SORTS OF OTHER STUFF.
00:10:17   ALL RIGHT.
00:10:18   SO THAT'S PRETTY MUCH MY TIME.
00:10:19   I WILL BE HAPPY TO STOP FOR QUESTIONS.
00:10:22   I WANT TO MAKE ONE QUICK NOTE.
00:10:24   THE REQUESTS CORE TEAM ARE GOING TO BE AT THE
00:10:28   NUMB FOCUS BOOT TOMORROW FROM 12:30ISH, IF YOU
00:10:32   WANT TO CHAT WITH US, HAVE LUNCH WITH US, WE
00:10:34   WOULD LOVE TO MEET YOU, WE WANT TO TALK ABOUT
00:10:36   ANYTHING WITH PEOPLE WHO ARE USING OUR STUFF.
00:10:37   GET YOUR FEEDBACK.
00:10:39   THAT'S ALL FOR ME.
00:10:39   THANK YOU VERY MUCH.
00:10:40   [ Applause ]
00:10:45
00:10:49   >> GREAT.
00:10:50   WE HAVE A FEW MINUTES FOR QUESTIONS, SO IF ANYONE
00:10:53   HAS ANY QUESTIONS AND WOULD LIKE TO COME TO THE
00:10:56   MIC BACK HERE, WE WILL TAKE THEM:
00:10:58   >> AUDIENCE:  AWESOME TALK, THANK YOU VERY MUCH.
00:11:00   I HAD A COUPLE, TWO RELATED QUESTIONS.
00:11:02   THE FIRST ONE IS, SO LET'S SAY IF YOU ARE RUNNING
00:11:05   A WEBSITE AND RUNNING WEB SERVERS, LIKE WHAT ARE
00:11:07   THE OPTIONS TO SUPPORT HTTP2.
00:11:11   YOU MENTIONED THE REVERSE PROXY BUT WHAT ABOUT
00:11:13   NATIVE IMPLEMENTATIONS IF YOU'RE RUNNING APACHE
00:11:16   AND WHATEVER ELSE.
00:11:17   >> THE OPEN SOURCE WEB SERVICES ARE MOVING
00:11:19   RELATIVELY SLOWLY.
00:11:20   INTERNETS HAVE SAID THEY'LL HAVE SUPPORT BY,
00:11:22   QUOTES, UNQUOTES, THE ENDS OF THE YOUR, WHICH IS
00:11:24   THOROUGHLY DISAPPOINTING, SO HOPEFULLY SOMEONE
00:11:26   WILL STEP UP AND MAKE THAT HAPPEN FASTER.
00:11:28   APACHE IS GETTING THERE.
00:11:30   THERE IS A MOD H2, THAT'S WHAT IT'S CALLED, I
00:11:35   DON'T RECALL HOW FAR THROUGH DEVELOPMENT IT IS
00:11:37   BUT THAT'S THE THING TO LOOK AT.
00:11:38   IT'S ALSO BUILT ON TOP OF NGHTTP2.
00:11:41   >> AUDIENCE: THE NEXT QUESTION KIND OF RELATED TO
00:11:43   THAT, LIKE, WHEN DO YOU EXPECT IN TERMS OF
00:11:45   ADOPTION WE'LL SEE LIKE THE WHOLE INTERNET
00:11:47   RUNNING ON HTTP2 AND PEOPLE TALK ABOUT 1.1 BEING
00:11:52   IN THE BACK OF THE DAYS KIND OF THING.
00:11:53   >> I'M NOT CERTAIN WE'LL EVER GET RID OF 1.1,
00:11:57   THERE IS A FEW CASES WHERE IT'S BETTER THAN 2.
00:11:59   >> AUDIENCE: WIDE MAINSTREAM ADOPTION, MORE
00:12:01   MAINSTREAM THING.
00:12:03   >> MAINSTREAM ADOPTION I THINK WITHIN THIS
00:12:04   CALENDAR YEAR IS THE ANSWER, SO WE ARE -- IT IS
00:12:06   ALREADY MORE WIDELY USED THAN IPV6 IS, AND...
00:12:11   [ Laughter ]
00:12:11   >> AND IT'S NOT ACTUALLY EVEN FULLY STANDARDIZED
00:12:14   YET, STILL IN THE ISG, SO IT'S STILL GOT A BIT OF
00:12:17   WORK SO GOOGLE HAS DEPLOYED IT ALREADY, SO GOOGLE
00:12:19   AND CHROME, ANYONE USE INKING THAT IS USING IT.
00:12:24   TWITTER, LOTS OF BIG WEBSITES ARE DEPLOYING IT, I
00:12:27   SUSPECT Facebook WILL BE ALONG, AS WELL, LOTS
00:12:29   OF BIG SOCIAL MEDIA STUFF WILL, I THINK, I'M
00:12:31   CONFIDENT THIS YEAR.
00:12:32   >> AUDIENCE:  AWESOME.
00:12:34   THANK YOU VERY MUCH.
00:12:35   >> THANK YOU.
00:12:36   >> AUDIENCE:  MY QUESTION CONCERNS PUSH FEATURES
00:12:39   THAT YOU BRIEFLY MENTIONED.
00:12:41   HOW DO YOU SEE THIS WORKING WITH POPULAR WEB
00:12:44   FRAMEWORK?
00:12:44   IS IT LIKE YOU ARE GOING TO DECLARE WHAT NEEDS TO
00:12:49   BE PUSHED ON THIS PAGE?
00:12:50   >> YEAH, I THINK POPULAR WEB FRAME WORKS ARE
00:12:53   GOING TO NEED EXTENSIONS TO TRY AND WORK THIS
00:12:56   OUT.
00:12:57   THAT SAID, I WOULD THINK IT WOULD BE NOT TOO
00:13:00   CHALLENGING TO ADD A REVERSE PROXY THAT USES SOME
00:13:04   MACHINE LEARNING STUFF TO TRY AND WORK OUT WHAT
00:13:07   REQUESTS CORRELATE TOGETHER IN SUCH A WAY THAT IT
00:13:10   COULD DO QUITE WELL.
00:13:11   I'LL PROBABLY TRY AND HAVE A CONVERSATION WITH
00:13:13   THE H2O LEAD AT SOME POINT ABOUT WHETHER OR NOT
00:13:17   WE CAN TRY IT WITH HIS IMPLEMENTATION.
00:13:18   YEAH.
00:13:20   >> AUDIENCE:  WILL YOU BE WORKING ON HYPER IN THE
00:13:23   SPRINTS?
00:13:23   >> I THINK I'LL BE TRYING TO DO SOME, YEAH.
00:13:25   I'LL BE HERE MONDAY, THAT'S THE ONLY DAY SPRINTS
00:13:28   AISLE WILL BE HERE BUT I'M TOTALLY HAPPY TO WORK
00:13:31   ON RAMPING PEOPLE UP ON IT SO OTHER PEOPLE CAN IF
00:13:34   I DON'T HAVE THE CHANCE TO.
00:13:35   >> AUDIENCE:  THANKS.
00:13:36   >> AUDIENCE:  YEAH, REQUEST RESPONSE FOR PAIRS
00:13:41   CALLED STREAM WHEN THEY'RE MULTIPLEX, HOW DOES
00:13:44   THE PRIORITIZATION AND FLOW CONTROL INTERACT WITH
00:13:48   TCP'S PRIORITIZATION FLOW CONTROL AND EVEN IP'S
00:13:53   FACILITIES, SEEMS LIKE THERE IS SOME REDUNDANCY
00:13:56   THERE, MAYBE SOME POTENTIAL FOR FIGHTING BETWEEN
00:13:58   THOSE MECHANISMS?
00:14:00   >> SO, THE GOAL SHOULD BE THAT THEY WON'T FIGHT.
00:14:02   SO THE KEY THING TO KNOW, AND THIS GETS BROUGHT
00:14:06   UP A LOT AND SOME DISCUSSIONS ON THE MAILING LIST
00:14:08   ABOUT IT WHICH MIGHT BE WORTH TRYING TO FIND WITH
00:14:10   SOME GOOGLE BUT THE KIND OF HIGH-LEVEL STUFF HERE
00:14:12   IS THE FLOW CONTROL IS APPLICATION LAYER FLOW
00:14:15   CONTROL SO IT'S ABOUT WHETHER OR NOT THE
00:14:18   APPLICATION ITSELF IS PROCESSING THE DATA, THE
00:14:20   TCP STREAM SHOULD STILL BE BEING PUMPED BECAUSE
00:14:23   YOU NEED TO GET THOSE CONTROL FRAMES SO TCP'S
00:14:26   FLOW CONTROL FLOW IS AN OR THROWING NATURAL THINK
00:14:31   WHICH SAYS IT CAN'T PROCESS MORE DATA, FOR THIS
00:14:35   STREAM.
00:14:35   SO IT'S A MUCH MORE FINE-GRAINED ISSUE.
00:14:39   THERE SHOULD BE, WITH CAREFULLY TUNED ALGORITHMS,
00:14:42   NO HEAD OF LINE BLOCKING.
00:14:44   HOWEVER, YOU CAN DEFINITELY DO IT WRONG AND IT'S
00:14:48   AN IMPORTANT THING THAT HAS TO GETS TESTS LIVE.
00:14:51   >> AUDIENCE:  THAT'S KIND OF WHAT I'M ASKING, HAS
00:14:54   THERE BEEN MUCH TESTING OR INVESTIGATION INTO HOW
00:14:56   THOSE INTERACT?
00:14:58   THERE ARE SO MANY FLOW CONTROL ALGORITHMS FOR TCP
00:15:01   BECAUSE OF THE SAME ISSUE BETWEEN I.P. LAYER
00:15:04   STUFF.
00:15:06   >> DEFINITELY LESS WORK DONE THAN TCP BUT PLENTY
00:15:08   OF IMPLEMENTATIONS FLOATING AROUND AND FOR A
00:15:12   LITTLE WHILE WE HAD A SPECIAL FRAME THAT WOULD
00:15:14   TELL YOU IF YOU HAD BLOCKED A STREAM THAT COULD
00:15:16   BE SERVED FOR SOME DE-BUGGING PURPOSE.
00:15:19   THEY GOT TAKEN OUT BECAUSE IT ADDED COMPLEXITY
00:15:21   BUT THE THING TO DO IS GO TO THE VARIOUS MAJOR
00:15:23   IMPLEMENTATIONS AND ASK THEM TO KIND OF WRITE A
00:15:25   DOCUMENT THAT TRACKS EXACTLY HOW THEIR ALGORITHMS
00:15:28   WORK BUT THEY'LL ALL BE QUITE DIFFERENT.
00:15:31   I ALSO SUSPECT GOOGLE WILL PUBLISH A WHITE PAPER.
00:15:35   >> AUDIENCE:  GREAT TALK.
00:15:38   >> AUDIENCE: I HAVE A QUESTION.
00:15:39   HTTP2 MAKES SENSE BETWEEN THE BROWSER AND WEB
00:15:44   SERVICE.
00:15:44   WHAT'S THE PLACE BETWEEN THE ARCHITECTURE, DO YOU
00:15:46   THINK IT HAS A PLACE -- MAYBE WITHOUT TLS?
00:15:49   >> I THINK IT HAS THE POTENTIAL TO BE STREAMLY
00:15:51   VALUABLE IN THOSE CASES.
00:15:53   IT'S A BIT INTERESTING BECAUSE IT VERY MUCH
00:15:55   DEPENDS ON YOUR NETWORKED APOLOGY, BUT IN
00:16:00   PRINCIPLE, IT HAS THE ABILITY TO BE A REALLY
00:16:01   GREAT KIND OF RPC MECHANISM AND IN FACT THERE IS
00:16:04   ONE ALREADY, GOOGLE HAVE PUBLISHED GRPC, A PCC
00:16:12   MECHANISM OVER HTTP2.
00:16:14   AND THAT HAS THE POTENTIAL TO BE MUCH, MUCH MORE
00:16:16   EFFECTIVE THAN THE CURRENT 1.1 USE OF THAT.
00:16:19   >> AUDIENCE:  THANK YOU.
00:16:20   >> THANK YOU.
00:16:22   >> AUDIENCE:  GIVEN PAGE OR SESSION TYPICALLY
00:16:26   RESTRICTED TO A SINGLE TCP CONNECTION AND IF SO,
00:16:30   IS THAT A BOTTLENECK OR DO YOU FORESEE THAT BEING
00:16:32   A BOTTLENECK IN THE FUTURE?
00:16:34   >> THE SPEC SAYS THAT THERE SHOULD, CAPITAL
00:16:37   SHOULD BE NO MORE THAN ONE TCP CONNECTION BEER
00:16:40   AUTHORITY, SO HOST, SO, YEAH, IN PRINCIPLE, I
00:16:44   SHOULD MAINTAIN ONLY THE ONE CONNECTION TO A
00:16:46   GOOGLE SERVER.
00:16:48   CURRENTLY WE DON'T EXPECT THAT TO BE A BOTTLENECK
00:16:51   BUT THE KIND OF THING WHICH MAY WELL COME BACK
00:16:53   AND SAY WE NEED MORE, IDEALLY I THINK WHAT WE
00:16:55   WOULD ACTUALLY DO IS RECONSIDER THE WAY WE HANDLE
00:16:58   THE ONE CONNECTION.
00:16:59   ONE CONNECTION SHOULD BE THE OPTIMAL CASE FOR
00:17:02   TCP.
00:17:04   HOPEFULLY IT WILL.
00:17:06   >> AUDIENCE:  OKAY, THANK YOU.
00:17:09   >> THANK YOU.
00:17:09   >> AUDIENCE:  YOU MENTIONED THE BINARY
00:17:11   PARTICLE -- RESOURCE ENVIRONMENTS.
00:17:14   IS IT POSSIBLE TO DISABLE OTHER FEATURES SUCH AS
00:17:17   H-PAC AND MANDATORY TLS SO YOU CAN RUN THIS ON AN
00:17:21   8 OR 16-BITS --
00:17:23   >> MAYBE.
00:17:23   THERE HAVE BEEN SOME PEOPLE DOING WORK ON THAT.
00:17:25   I'M NOT ENTIRELY UP TO SPEED ON WHERE THEY ARE
00:17:27   BUT YOU CAN DISABLE MANY OF THE COMPLICATIONS
00:17:30   FEATURES, SO FLOW CONTROL, YOU CAN HAVE A KIND OF
00:17:33   NO-OP FLOW CONTROL THAT SENDS BAKE WINDOW UPDATES
00:17:38   THAT ARE THE SIZE OF THE DATA YOU RECEIVED AND
00:17:39   THAT'S WHAT HYPER DOES RIGHT NOW -- NO, IT
00:17:42   DOESN'T, I MADE IT SMARTER RECENTLY, DOESN'T DO
00:17:44   THAT ANYMORE BUT YOU CAN TURN OFF THE
00:17:47   COMPRESSIONEE PARTS OF HPAC, SO YOU CAN HAVE
00:17:51   H-PAC SAY YOU CAN NEVER ADD HAYERS TO THE
