-00:00:02  >> GOOD AFTERNOON, EVERYBODY.
00:40:33   SO WE HAVE IMPLEMENTED FOUR LOOPS IN A WAY THAT
00:40:37   WORKS CORRECTLY.
00:40:37   IN FACT, AS OF ABOUT A YEAR AND A HALF AGO, MOST
00:40:40   THINGS WORKED CORRECTLY.
00:40:41   WE COULD DO LOOPS, WE COULD DO FUNCTION CALLS, WE
00:40:43   COULD DO EXCEPTION HANDLING, WE COULD DO CONTEXT
00:40:46   MANAGERS, DECORATORS, GENERATORS, SO ON.
00:40:48   WE HAD ONE PROBLEM THAT WAS STUMPING US.
00:40:50   IN PARTICULAR, WE GOT ERRORS ON NESTED
00:40:54   GENERATORS.
00:40:55   WE GOT A REALLY WEIRD ERROR, TOO.
00:40:58   WE WERE TRYING THIS CODES, WHICH SHOULD WORK AND
00:40:59   WE GET A TYPERROR THAT WE WERE TRYING TO MULTIPLY
00:41:02   TO NONE OBJECTS, WHICH IS OBVIOUSLY NOT GOING TO
00:41:05   SUCCEED AND ALSO NOT AT ALL CLEAR WHERE THAT'S
00:41:07   COMING FROM IN THIS CODES.
00:41:08   SO I'M GOING TO TALK A LITTLE BIT ABOUT THE
00:41:10   STRUCTURE OF BYTE RUN, WHICH MIRRORS THE
00:41:13   STRUCTURE OF THE REAL C-PYTHON INTERPRETER TO
00:41:16   UNCOVER THIS BUG AND IT'S AMAZING HOW WELL THIS
00:41:20   WORKED CONSIDERING HOW WRONG WE WERE ABOUT THE
00:41:22   STRUCTURE.
00:41:22   TO BE CLEAR, EVERYTHING I'M GOING TO DESCRIBE IS
00:41:24   THE CORRECT STRUCTURE AND THEN I'LL REVEAL WHAT
00:41:26   OUR MISUNDERSTANDING WAS TOWARDS THE END.
00:41:29   SO TO MAKE THIS CONCRETE, LET'S START WITH A VERY
00:41:32   MINIMAL INTERPRETER.
00:41:33   THIS INTERPRETER UNDERSTANDS USE THREE
00:41:35   INSTRUCTIONS.
00:41:36   HERE THEY ARE.
00:41:37   LOAD OF VALUE, ADD-TO VALUES AND PRINT THE
00:41:40   ANSWER.
00:41:40   ALL THE CODE IT CAN EXECUTE CONSISTS OF THESE
00:41:45   THREE INSTRUCTIONS IN DIFFERENT COMBINATIONS.
00:41:46   SINCE WE'RE NOT CONCERNED AT ALL TODAY ABOUT
00:41:53   LEXER OR PARSER OR COMPILER, WE DON'T CARE HOW
00:41:56   YOU GOT THE INSTRUCTIONS.
00:41:57   YOU COULD IMAGINE YOU PROPERTY SEVEN PLUS FIVE IN
00:41:59   A PYTHONEE SYNTAX AND SOME FRIENDLY COMPILER
00:42:03   GENERAL RAILS THE FOUR INSTRUCTIONS YOU SEE AT
00:42:04   THE BOTTOM.
00:42:05   OR IF YOU HAD A DIFFERENT COMPILER, YOU COULD
00:42:08   WRITE LISP SYNTAX AND GET THE INSTRUCTIONS AT THE
00:42:10   BOTTOM.
00:42:11   TODAY WE DON'T CARE.
00:42:12   THE INTERPRETER JUST CARES THERE IS A
00:42:13   WELL-INFORMED ARRANGE.
00:42:14   OF THESE THREE INSTRUCTIONS, AND THIS IS ONE THAT
00:42:17   IS WELL-FORMED.
00:42:19   SO NOW LET'S TALK ABOUT WHAT WE WANT THE
00:42:23   INSTRUCTIONS TO DO.
00:42:24   THE PYTHON INTERPRETER IS A STACK MACHINE SO IT'S
00:42:27   GOING TO MANIPULATE STACKS TO ADD TO NUMBERS.
00:42:28   IT WILL MANIPULATE STACKS TO DO EVERYTHING.
00:42:31   NOW, WHEN YOU HEAR ABOUT STACKS, YOU'RE PROBABLY
00:42:33   THINKING FIRST OF THE CALL STACK.
00:42:35   THAT IS NOT THE STACK THAT WE'RE TALKING ABOUT
00:42:37   RIGHT NOW, SO HOLD THAT THOUGHT.
00:42:38   WE WILL COME BACK TO THE CALL STACK IN A MINUTE
00:42:40   BUT FOR NOW, IGNORE IT COMPLETELY.
00:42:43   SO WE HAVE SOME STACK THAT CAN HOLD DATA.
00:42:45   AND WHEN THE INTERPRETER BEGINS, THE STACK IS
00:42:48   EMPTY.
00:42:49   IT EXECUTES THE FIRST INSTRUCTION, WHICH PUSHES
00:42:52   THE FIRST NUMBER ON TO THE STACK, THAT'S SEVEN.
00:42:54   THEN IT PUSHES THE SECOND NUMBER ON TO THE STACK,
00:42:56   THAT'S FIVE.
00:42:57   THEN IT ADDS THEM TOGETHER, PUSHES THE RESULT ON
00:43:00   TO THE STACK, THAT'S 12, AND THEN WHEN PRINT
00:43:03   ANSWER, WE'LL POP THE RESULT OFF THE STACK AND
00:43:05   PRINT IT.
00:43:05   SO THE MANIPULATION HERE IS LOAD VALUE IS
00:43:10   RESPONSIBLE FOR GETTING VALUES ON TO THE STACK.
00:43:12   ADD-20 VALUES IS RESPONSIBLE FOR POPPING THEM OFF
00:43:14   AND ADDING AND PRINT ANSWER CONSUMES WHATEVER IS
00:43:17   ON THE STACK AND PRINTS IT.
00:43:19   YOU MAY BE WONDERING AT THIS POINT WHY
00:43:21   INSTRUCTIONS OTHER THAN ADD-TO VALUES ARE
00:43:23   NECESSARY AT ALL.
00:43:24   AND ADMITTEDLY, FOR THE CASE WHERE WE JUST ADD
00:43:26   TWO VALUES, IT IS SLIGHTLY CONTRIVED.
00:43:29   BUT THIS CREATES A STRONG FRAMEWORK THAT WE CAN
00:43:31   USE TO ADD A LOT OF COMPLEXITY SO JUST WITH THE
00:43:36   INTERPRETER INSTRUCTIONS WE'VE DESIGNED SO FAR,
00:43:38   WE CAN ADD THREE VALUES, OR ANY NUMBER OF VALUES.
00:43:40   IF WE HAVE THIS WELL-INFORMED SET OF
00:43:42   INSTRUCTIONS.
00:43:42   AND THE STACK PROVIDES A REALLY CLEAN WAY TO
00:43:45   TRACK THE INTERPRETER STATE AND IT WILL SUPPORT A
00:43:47   LOT MORE COMPLEXITY AS WE GO ON.
00:43:49   SO THE NEXT QUESTION IS, WHERE DO THESE NUMBERS
00:43:54   COME FROM?
00:43:55   IN OUR EXAMPLE OF THE INSTRUCTIONS, IT JUST SAYS
00:43:58   LOAD VALUE BUT DOESN'T SAY WHAT VALUE TO LOAD.
00:44:00   SO WE HAVE TO TELL THE INTERPRETER THAT.
00:44:03   LET'S EXPAND OUR INSTRUCTIONS A LITTLE BIT.
00:44:04   INSTEAD OF HAVING JUST A LIST OF INSTRUCTIONS,
00:44:06   WE'LL HAVE THIS DICTIONARY, CALL WHAT TO EXECUTE.
00:44:09   THERE ARE TWO PIECES, THE INSTRUCTIONS THEMSELVES
00:44:12   AND THEN THE NUMBERS WHICH WE'LL ALSO NEED.
00:44:14   AND WE ALSO NEED TO LINK EACH NUMBER TO THE
00:44:16   CORRECT INSTRUCTION.
00:44:17   SO LOAD VALUE THE FIRST TIME SHOULD LOAD THE
00:44:20   FIRST NUMBER AND THEN THE SECOND TIME WILL LOAD
00:44:22   THE SECOND NUMBER.
00:44:23   IN PYTHON WHAT I'M CALLING INSTRUCTIONS HERE IS
00:44:26   THE BYTECODE ITSELF AND THE WHOLE WHAT TO EXECUTE
00:44:29   OBJECT IS ANALOGOUS TO THE CODES OBJECTS.
00:44:32   SO WHY NOT JUST PUT THE NUMBERS DIRECTLY INTO THE
00:44:34   INSTRUCTIONS?
00:44:35   IMAGINE IF WE WERE ADDING TOGETHER STRINGS
00:44:39   INSTEAD OF NUMBERS.
00:44:39   WE MIGHT NOT KNOW HOW LONG THOSE STRINGS ARE, AND
00:44:42   WE MIGHT NOT KNOW -- WE MIGHT WANT TO PACK THE
00:44:45   INSTRUCTIONS IN A WAY WHERE THE LENGTH IS ALREADY
00:44:47   PREDETERMINED.
00:44:48   THE OTHER ADVANTAGE TO THIS DESIGN IS IF WE'RE
00:44:50   ADDING 7 PLUS 7, INSTEAD OF 7 PLUS 5.
00:44:53   WE ALL NEED ONE COPY OF THE NUMBER 7 IN THE CODE
00:44:56   OBJECT.
00:44:56   THIS COMES IN HANDY IN A LOT OF PLACES.
00:44:58   OKAY, SO LET'S START WRITING OUR INTERPRETER
00:45:03   ITSELF.
00:45:03   WE KNOW THAT OUR INTERPRETER NEEDS A STACK.
00:45:06   RIGHT NOW THAT'S ALMOST THE ONLY THING THAT WE
00:45:08   NEED IN OUR INTERPRETER.
00:45:09   AND WE NEED TO IMPLEMENTS THE INSTRUCTIONS SO THE
00:45:11   INTERPRETER KNOWS WHAT TO DO WHEN IT HITS THAT
00:45:13   INSTRUCTION.
00:45:13   SO HERE WE HAVE THREE FUNCTIONS THAT ARE NAMED
00:45:16   ANALOGOUS TO THE INSTRUCTIONS, VALUE LOADER FOR
00:45:19   LOAD VALUE, ANSWER PRINTER FOR PRINT ANSWER AND
00:45:22   TWO VALUE ADDER FOR ADDING INSTRUCTIONS.
00:45:24   FOR ADDING THE VALUES.
00:45:27   YOU'LL NOTICE THAT EACH OF THESE INTERACT WITH A
00:45:29   STACK IN THE WAY WE JUST OUTLINED, THE VALUE
00:45:31   LOADER PUSHES SOMETHING ON TO THE STACK AND TWO
00:45:35   LOADER POPS SOMETHING OFF AND SO OPEN.
00:45:37   SO WE NEED ONE MORE PIECE, A WAY TO MAKE THE
00:45:39   THING GO.
00:45:39   HERE WE HAVE A METHOD CALLED RUN CODE WHICH TAKES
00:45:44   THAT WHAT TO EXECUTE OBJECT AND DOES WHAT IT SAYS
00:45:48   IN IT.
00:45:48   SO THE FIRST THING WE DO IS UNPACK INTO
00:45:50   INSTRUCTIONS AND NUMBERS, JUST FOR CLARITY AND
00:45:53   READABILITY.
00:45:53   THEN WE LOOP OVER THE INSTRUCTION.
00:45:56   WE PROCESS THE ARGUMENT TO THAT INSTRUCTION, IF
00:45:58   THERE IS ANY, WHICH THERE MIGHT NOT BE.
00:46:00   AND THEN WE CALL THE CORRESPONDING METHOD ON THE
00:46:02   INTERPRETER OBJECT.
00:46:03   AND WE JUST DO THAT WITH AN "F" STATEMENT.
00:46:06   WE HAVE A METHOD DEFINED FOR EACH INSTRUCTION.
00:46:08   WE SAY IN WE'RE LOOKING AT LOADS VALUE, CALL THE
00:46:11   VALUE LOADER WITH THE CORRECT ARGUMENT.
00:46:13   SO THIS INTERPRETER IS QUITE LIMITED, BUT THIS
00:46:15   PROCESS IS ALMOST EXACTLY HOW THE REAL PYTHON
00:46:18   INTERPRETER ADDS TWO NUMBERS.
00:46:20   AND THERE ARE A COUPLE OF THINGS WE CAN NOTICE
00:46:22   FROM THE SMALL EXAM WILL.
00:46:23   THE FIRST ONE IS THAT SOME INSTRUCTIONS DO NEED
00:46:26   ARGUMENTS, AND REAL PYTHON BYTECODE IS ABOUT HALF
00:46:28   THE INSTRUCTIONS THAT NEED ARGUMENTS AND HALF DO
00:46:30   NOT.
00:46:32   THE SECOND THING TO NOTICE IS THE ARGUMENTS TO
00:46:34   THE INSTRUCTION ARE PACKED IN WITH A BYTECODE
00:46:36   WHERE WE HAD LOAD VALUE ZERO, THAT'S BASICALLY
00:46:40   THE WAY THE BYTECODE IS STRUCTURED, AS WELL.
00:46:42   AND WE CAN NOTICE THAT THE ARGUMENTS TO THE
00:46:45   INSTRUCTIONS ARE DIFFERENT THAN THE ARGUMENTS TO
00:46:47   THE FUNCTION BEING CALLED.
00:46:50   SO FOR LOAD VALUE, WE NEED TO GO LOOK UP WHAT THE
00:46:53   CORRECT ARGUMENT IS, AND THEN PASS THAT NUMBER,
00:46:57   NOT THE INDEX INTO THE NUMBERS LIST THAT WE SAW
00:47:00   EARLIER, PASS THE ACTUAL NUMBER AT THAT POINT
00:47:02   INTO THE VALUE LOADER FUNCTION.
00:47:04   AND FINALLY, NOTICE THAT THE ADD-TO VALUES DID
00:47:08   NOT REQUIRE ANY ARGUMENTS SO THE INSTRUCTION
00:47:10   ITSELF JUST SAYS, TAKE WHATEVER IS ON THE TOP OF
00:47:12   THE STACK AND ADD IT TOGETHER.
00:47:14   THE TOP TWO THINGS ON THE STACK, ADD THAT
00:47:16   TOGETHER.
00:47:17   THIS IS THE DEFINING FEATURE OF A STACK-BASED
00:47:19   INTERPRETER, IS THAT WE WILL BE MANIPULATING THE
00:47:22   STACK AND ANY TIME WE'RE DOING A CALCULATION,
00:47:24   BASICALLY, THE VALUES HAVE BEEN ON THE STACK AT
00:47:26   SOME POINT.
00:47:27   SO LET'S NOW GRADUATE TO REAL PYTHON BYTECODE.
00:47:32   AS I MENTIONED, THESE INSTRUCTIONS SETS IN PYTHON
00:47:35   ARE CALLED BYTECODE AND THE OVERALL OBJECT IS
00:47:37   CALLED THE CODES OBJECT.
00:47:38   ONE GREAT THING ABOUT PYTHON IS IT EXPOSES A TON
00:47:41   OF INTERNAL IMPLEMENTATION DETAILS IN THE
00:47:43   WRAP-OUT SO IT'S EASY TO POKE AROUND AND EXPLORE
00:47:46   AND SEE WHAT'S GOING ON, SO IT WON'T BE TOO HARD
00:47:48   FOR US TO DO.
00:47:49   SO HERE'S A FUNCTION THAT WE CAN USE TO EXPLORE.
00:47:51   IT'S SIMPLE, CALLED MOD, TAKES TWO ARGUMENTS,
00:47:54   CALCULATES THE MODULUS OF ONE AGAINST THE OTHER,
00:47:56   AND THEN RETURNS THE RESULTS.
00:47:57   SO WE CAN GET A HANDLE ON THE FUNCTION OBJECT,
00:48:02   WHICH IS MOD.
00:48:03   ON THE MOD FUNCTIONS CODE OBJECT, WHICH IS
00:48:06   FUNCTION CODES, AND THEN WE CAN GET A HANDLE ON
00:48:08   THE BYTECODE WHICH IS STORED UNDER CODE CODE.
00:48:11   BYTECODE IS A SUBSET, NOT THE SAME THING AS A
00:48:13   CODE OBJECT.
00:48:14   SO LET'S LOOK AT THIS.
00:48:15   SO JUST PRINTING THIS DOESN'T FEEL VERY
00:48:20   ENLIGHTENING, BUT THERE IS IN FACT ONE THING THAT
00:48:22   WE CAN LEARN JUST FROM DOING THIS AND THAT IS
00:48:24   THAT BYTECODE IS A SERIES OF BYTES.
00:48:26   A SERIES OF NUMBERS BETWEEN 0 AND 255 AND IT
00:48:30   LOOKS A LITTLE FUNNY IN THE TERMINAL BECAUSE SOME
00:48:32   OF THEM ARE PRINTABLE AND SOME ARE NOT BUT WE
00:48:34   ALREADY KNOW SOMETHING ABOUT BYTES JUST FROM
00:48:35   THAT.
00:48:35   WE CAN MAKE THIS SLIGHTLY MORE INTELLIGIBLE BY
00:48:39   CONVERTING TO ORDINALS AND THIS REALLY SHOWS THIS
00:48:42   IS NUMBERS BETWEEN 0 AND 255 BUT STILL NOT
00:48:45   EXACTLY READABLE.
00:48:46   SO LUCKILY FOR US, THERE IS A TOOL WE CAN USE IN
00:48:49   THE STANDARD LIBRARY TO MAKE THIS INTELLIGIBLE.
00:48:51   YOU CAN JUST DIS, THE BYTECODE DISASSEMBLER AND
00:48:55   IN GENERAL, YOU WANT A DISASSEMBLER WHEN YOU HAVE
00:48:58   SOME SET OF INSTRUCTIONS INTENDED FOR A MACHINE
00:49:00   AND YOU WANT TO MAKE THEM READABLE FOR HUMANS.
00:49:02   SO ASSEMBLY LANGUAGE IS A CASE WHERE YOU WOULD
00:49:04   USE A DISASSEMBLER VERY OFTEN.
00:49:08   I CAN'T THINK OF A REASON WHY YOU WOULD WANT TO
00:49:10   USE DIS IN PRODUCTION, IN FACT, DIS DOESN'T EVEN
00:49:16   RETURN THIS OUTPUT, JUST PRINTS IT.
00:49:19   THIS IS INTENDED FOR OUR EYES AND NOT FOR MACHINE
00:49:21   CONSUMPTION.
00:49:21   SO WE RUN OUR FUNCTION THROUGH THE DISASSEMBLER,
00:49:24   WE GET THIS OUTPUT.
00:49:25   I'VE GOT THIS ANNOTATED SLIGHTLY JUST BELOW THE
00:49:28   CALL.
00:49:28   THE LEFT-HAND COLUMN IS THE LINE NUMBER IN THE
00:49:31   ORIGINAL SOURCE CODE SO OUR CODE WAS TWO LINES
00:49:33   AND THIS IS LINE TWO AND THREE FROM THE REPL.
00:49:36   THE SECOND COLUMN IS THE INDEX INTO THE BYTECODES
00:49:40   SO THIS IS TELLING US AT POSITION 0 IS LOAD FAST,
00:49:43   AT POSITION 7 IS STORE FAST AND SO ON.
00:49:44   THE THIRD COLUMN IS THE INSTRUCTION -- IS THE
00:49:49   BYTE MAPS TO A HUMAN-READABLE INSTRUCTION NAME,
00:49:51   SO 124 BECOMES LOAD FAST AND 22 BECOMES BINARY
00:49:55   MOD WHICH IS MUCH FRIENDLIER FOR US TO READ AS
00:49:59   HUMANS.
00:50:00   THE FOURTH COLUMN IS THE ARGUMENT TO THE
00:50:01   INSTRUCTION AND NOTICE AGAIN, HERE, THAT BINARY
00:50:03   MODULE LOAD DOES NOT TAKE ANY ARGUMENTS.
00:50:06   THE FIRST TIME I SAW THIS I WAS REALLY SURPRISED
00:50:08   AND CONFUSED BECAUSE I WOULD ASSUME THAT A BINARY
00:50:11   FUNCTION IS ONE THAT TAKES TWO ARGUMENTS, THAT
00:50:13   SEEMS DEFINITIONALLY TRUE, BUT IN BYTECODE, THOSE
00:50:16   ARGUMENTS WILL ALREADY BE ON THE STACK SO THE
00:50:18   INSTRUCTION ITSELF DOES NOT REQUIRE ARGUMENTS.
00:50:20   THE FIFTH COLUMN IS A HINT FROM ELSEWHERE ON THE
00:50:24   CODE OBJECT ABOUT WHAT THAT ARGUMENT MEANS, SO WE
00:50:26   CAN TELL THAT THE FIRST TIME YOU DO LOAD FAST,
